Club,Predecessor,Join date,Coach
Chelsea,David Webb,30/6/1993,Glenn Hoddle
Tottenham,Doug Livermore,19/6/1993,Osvaldo Ardiles
Tottenham,Ray Clemence,19/6/1993,Osvaldo Ardiles
Crystal Palace,Steve Coppell,17/5/1993,Alan Smith
Nottingham Forest,Brian Clough,8/5/1993,Frank Clark
Chelsea,Ian Porterfield,15/2/1993,David Webb
Liverpool,Graeme Souness,28/1/1994,Roy Evans
Southampton,John Mortimore,19/1/1994,Alan Ball
Southampton,Ian Branfoot,10/1/1994,John Mortimore
Norwich,Mike Walker,6/1/1994,John Deehan
Everton,Jimmy Gabriel,3/1/1994,Mike Walker
Coventry,Bobby Gould,31/12/1993,Ron Atkinson
Everton,Howard Kendall,4/12/1993,Jimmy Gabriel
Man City,Tony Book,28/8/1993,Brian Horton
Man City,Peter Reid,26/8/1993,Tony Book
Swindon,Glenn Hoddle,4/6/1993,John Gorman
Southampton,Alan Ball,30/6/1995,Lawrie McMenemy
Blackburn,Sir Kenny Dalglish,30/6/1995,Ray Harford
Norwich,Gary Megson,30/6/1995,Martin O'Neill
Arsenal,Stewart Houston,15/6/1995,Bruce Rioch
Man City,Brian Horton,16/5/1995,Alan Ball
Crystal Palace,Alan Smith,15/5/1995,Steve Coppell
Norwich,John Deehan,9/4/1995,Gary Megson
Arsenal,George Graham,21/2/1995,Stewart Houston
Coventry,Phil Neal,14/2/1995,Gordon Strachan
Ipswich,Paul Goddard,28/12/1994,George Burley
Leicester,Kevin MacDonald,14/12/1994,Mark McGhee
Ipswich,John Lyall,5/12/1994,Paul Goddard
Leicester,Brian Little,22/11/1994,Kevin MacDonald
Tottenham,Steve Perryman,15/11/1994,Gerry Francis
QPR,Gerry Francis,11/11/1994,Ray Wilkins
Aston Villa,Ron Atkinson,10/11/1994,Brian Little
Everton,Mike Walker,8/11/1994,Joe Royle
Tottenham,Osvaldo Ardiles,1/11/1994,Steve Perryman
West Ham,Billy Bonds,10/8/1994,Glenn Roeder
Arsenal,Bruce Rioch,30/6/1996,Stewart Houston
Chelsea,Glenn Hoddle,30/6/1996,Gianluca Vialli
Southampton,Dave Merrington,14/6/1996,Graeme Souness
Bolton,Roy McFarland,7/1/1996,Phil Brown
Southampton,Lawrie McMenemy,14/7/1995,Dave Merrington
Everton,Dave Watson,30/6/1997,Walter Smith
Southampton,Graeme Souness,1/6/1997,Dave Jones
Blackburn,Tony Parkes,1/6/1997,Roy Hodgson
Everton,Joe Royle,27/3/1997,Howard Kendall
Newcastle,Terry McDermott,14/1/1997,Sir Kenny Dalglish
