Date,Team,Passing Cmp%
2017-08-11,Arsenal,83.0
2017-08-19,Arsenal,85.9
2017-08-27,Arsenal,80.4
2017-09-09,Arsenal,78.8
2017-09-17,Arsenal,78.4
2017-09-25,Arsenal,85.6
2017-10-01,Arsenal,86.6
2017-10-14,Arsenal,79.2
2017-10-22,Arsenal,82.4
2017-10-28,Arsenal,85.9
2017-11-05,Arsenal,81.1
2017-11-18,Arsenal,68.0
2017-11-26,Arsenal,81.8
2017-11-29,Arsenal,87.1
2017-12-02,Arsenal,82.8
2017-12-10,Arsenal,86.4
2017-12-13,Arsenal,84.7
2017-12-16,Arsenal,84.8
2017-12-22,Arsenal,74.1
2017-12-28,Arsenal,83.1
2017-12-31,Arsenal,83.4
2018-01-03,Arsenal,83.8
2018-01-14,Arsenal,73.6
2018-01-20,Arsenal,87.5
2018-01-30,Arsenal,90.6
2018-02-03,Arsenal,83.8
2018-02-10,Arsenal,79.8
2018-03-01,Arsenal,77.6
2018-03-04,Arsenal,83.0
2018-03-11,Arsenal,81.5
2018-04-01,Arsenal,83.2
2018-04-08,Arsenal,83.4
2018-04-15,Arsenal,83.1
2018-04-22,Arsenal,85.5
2018-04-29,Arsenal,81.6
2018-05-06,Arsenal,87.8
2018-05-09,Arsenal,78.8
2018-05-13,Arsenal,79.9   
2018-08-12,Arsenal,77.1
2018-08-18,Arsenal,81.2
2018-08-25,Arsenal,82.2
2018-09-02,Arsenal,83.3
2018-09-15,Arsenal,83.0
2018-09-23,Arsenal,81.5
2018-09-29,Arsenal,79.8
2018-10-07,Arsenal,78.9
2018-10-22,Arsenal,84.9
2018-10-28,Arsenal,82.3
2018-11-03,Arsenal,83.8
2018-11-11,Arsenal,84.2
2018-11-25,Arsenal,79.1
2018-12-02,Arsenal,81.4
2018-12-05,Arsenal,81.0
2018-12-08,Arsenal,79.4
2018-12-16,Arsenal,85.1
2018-12-22,Arsenal,85.4
2018-12-26,Arsenal,87.5
2018-12-29,Arsenal,82.6
2019-01-01,Arsenal,77.6
2019-01-12,Arsenal,85.7
2019-01-19,Arsenal,75.7
2019-01-29,Arsenal,85.1
2019-02-03,Arsenal,77.4
2019-02-09,Arsenal,72.9
2019-02-24,Arsenal,80.6
2019-02-27,Arsenal,87.3
2019-03-02,Arsenal,60.1
2019-03-10,Arsenal,74.8
2019-04-01,Arsenal,84.5
2019-04-07,Arsenal,78.4
2019-04-15,Arsenal,85.7
